X,Y
-26,20
-24.6947,20.4933
-23.5386,21.2769
-22.5476,22.2626
-21.6907,23.3679
-20.9086,24.5279
-20.1548,25.7065
-19.37,26.8605
-18.4958,27.9562
-17.4861,28.922
-16.2874,29.6365
-14.9436,30.0081
-13.5576,30.1557
-12.1575,30.2071
-10.7558,30.1634
-9.3628,30.041
-7.97831,29.8428
-6.60975,29.5786
-5.24634,29.2544
-3.89598,28.875
-2.55995,28.461
-1.23428,28.0147
0.0781831,27.5459
1.3949,27.0569
2.70028,26.5534
3.99862,26.0469
5.30969,25.5431
6.61817,25.0479
7.93046,24.5669
9.2497,24.1073
10.5823,23.6678
11.9208,23.268
13.2757,22.9117
14.6403,22.6026
16.0133,22.3516
17.4023,22.1599
18.7958,22.0408
20.1939,21.9988
21.5904,22.0209
22.9901,22.0942
24.3827,22.218
25.7723,22.3902
27.1549,22.5943
28.5347,22.8282
29.9094,23.0917
31.2763,23.3773
32.6447,23.6804
34.0059,23.999
35.3666,24.332
36.7244,24.6632
38.085,24.9914
39.4465,25.3161
40.8049,25.63
42.1763,25.9301
43.5459,26.2133
44.9213,26.4751
46.3001,26.7001
47.6865,26.8885
49.0794,27.0384
50.474,27.1402
51.8717,27.1928
53.2717,27.1913
54.6688,27.1247
56.0616,26.9928
57.4442,26.8164
58.8329,26.6141
60.2147,26.3875
61.5899,26.1366
62.9633,25.8606
64.3305,25.566
65.6951,25.2578
67.0553,24.9363
68.4142,24.6009
69.7698,24.2519
71.1168,23.8941
72.4709,23.5264
73.8202,23.1521
75.1665,22.7706
76.5106,22.3818
77.8487,21.9924
79.1969,21.6032
80.543,21.218
81.8891,20.836
83.236,20.457
84.581,20.0847
85.9346,19.7192
87.2873,19.3631
88.6415,19.0158
90.0011,18.6775
91.3604,18.3577
92.728,18.0556
94.0987,17.7724
95.4733,17.5081
96.8451,17.2621
98.2291,17.0304
99.6107,16.8154
100.997,16.6161
102.385,16.4327
103.773,16.2605
105.16,16.0944
106.551,15.9336
107.942,15.7788
109.334,15.6299
110.725,15.4844
112.117,15.3389
113.507,15.1935
114.899,15.0479
116.291,14.9023
117.677,14.7528
119.071,14.5923
120.461,14.4221
121.848,14.2421
123.235,14.0521
124.619,13.8497
126,13.6326
127.38,13.4005
128.758,13.1532
130.128,12.8858
131.499,12.5945
132.862,12.2811
134.22,11.9393
135.559,11.5344
136.863,11.0295
138.122,10.423
139.33,9.71715
140.478,8.91639
141.553,8.02469
142.551,7.04293
143.464,5.98202
144.286,4.8528
145.016,3.6576
145.646,2.40968
146.177,1.11463
146.613,-0.210887
146.958,-1.56928
147.208,-2.94477
147.363,-4.33646
147.427,-5.73365
147.402,-7.13217
147.287,-8.52557
147.082,-9.91044
146.794,-11.2771
146.425,-12.6271
145.975,-13.9518
145.446,-15.2484
144.841,-16.5096
144.163,-17.732
143.412,-18.9122
142.593,-20.0454
141.707,-21.13
140.761,-22.1601
139.758,-23.1362
138.703,-24.0532
137.597,-24.9101
136.445,-25.7042
135.255,-26.4337
134.023,-27.1026
132.761,-27.704
131.467,-28.2407
130.156,-28.7167
128.818,-29.1373
127.467,-29.4976
126.1,-29.799
124.723,-30.0401
123.334,-30.1848
121.932,-30.1957
120.541,-30.0725
119.164,-29.8163
117.817,-29.444
116.504,-28.9632
115.234,-28.3894
113.997,-27.7308
112.802,-26.9961
111.642,-26.2147
110.514,-25.389
109.416,-24.5299
108.333,-23.6342
107.277,-22.7158
106.235,-21.7837
105.203,-20.8394
104.18,-19.8892
103.155,-18.9331
102.134,-17.9755
101.113,-17.0174
100.084,-16.072
99.0421,-15.1384
97.9881,-14.2179
96.923,-13.3193
95.8304,-12.4372
94.7231,-11.5823
93.5954,-10.763
92.4293,-9.97998
91.2395,-9.2433
90.0254,-8.55997
88.7713,-7.92942
87.4937,-7.36041
86.1918,-6.86218
84.8524,-6.44032
83.4947,-6.10138
82.1218,-5.83182
80.7423,-5.59853
79.3594,-5.38812
77.9734,-5.20759
76.5796,-5.05645
75.1856,-4.9359
73.7918,-4.85343
72.3911,-4.81183
70.9933,-4.81145
69.5931,-4.85335
68.2005,-4.94347
66.8053,-5.08361
65.4202,-5.27264
64.0407,-5.51335
62.6782,-5.81722
61.3275,-6.1878
59.9973,-6.62288
58.6899,-7.12277
57.4134,-7.69065
56.1661,-8.32808
54.9567,-9.02824
53.7822,-9.79096
52.6472,-10.6043
51.5464,-11.4708
50.4868,-12.385
49.4707,-13.3448
48.4976,-14.352
47.5749,-15.4032
46.7033,-16.4974
45.8853,-17.6314
45.1218,-18.8041
44.4174,-20.0126
43.776,-21.2537
43.1967,-22.5298
42.6843,-23.8317
42.2477,-25.1584
41.8896,-26.5129
41.6133,-27.8832
41.4197,-29.2697
41.3164,-30.6625
41.3045,-32.0608
41.3843,-33.458
41.5607,-34.8434
41.8395,-36.2157
42.2191,-37.5646
42.6964,-38.8796
43.2688,-40.153
43.9361,-41.3854
44.6895,-42.5635
45.5478,-43.6674
46.574,-44.6154
47.7645,-45.3461
49.0724,-45.8371
50.4382,-46.122
51.8349,-46.2359
53.2334,-46.2163
54.6258,-46.1044
56.016,-45.9303
57.3967,-45.7166
58.7766,-45.474
60.1517,-45.2236
61.5257,-44.9779
62.91,-44.7472
64.2944,-44.5427
65.6832,-44.3863
67.0797,-44.2821
68.4742,-44.2488
69.8765,-44.291
71.2666,-44.44
72.6391,-44.7076
73.9803,-45.1028
75.2756,-45.6333
76.5128,-46.2858
77.7267,-46.9789
78.9317,-47.6898
80.1271,-48.418
81.312,-49.1631
82.4815,-49.9304
83.6343,-50.7236
84.7685,-51.5414
85.8846,-52.384
86.9799,-53.2533
88.0513,-54.1508
