Grid spacing = 5
At Height 10
138
X	Y
-42.834277	-104.236786
-43.327205	-105.106422
-43.843628	-105.962379
-44.387005	-106.80145
-44.961774	-107.619506
-45.573361	-108.410562
-46.228251	-109.165674
-46.935059	-109.872436
-47.703407	-110.511333
-48.542978	-111.052716
-49.457624	-111.452739
-50.434334	-111.656927
-51.430861	-111.622675
-52.3913	-111.352526
-53.277388	-110.892245
-54.079644	-110.297117
-54.805276	-109.609966
-55.465608	-108.859576
-56.071594	-108.064346
-56.63209	-107.236608
-57.15444	-106.384304
-57.644473	-105.512828
-58.106677	-104.62625
-58.5446	-103.7277
-58.961461	-102.81884
-59.359521	-101.901709
-59.74084	-100.977541
-60.407656	-101.558891
-61.109711	-102.270967
-61.820974	-102.973524
-62.542688	-103.665213
-63.276436	-104.344371
-64.023825	-105.008494
-64.786982	-105.65437
-65.568616	-106.277589
-66.372461	-106.872012
-67.203186	-107.428189
-68.067025	-107.931121
-68.97183	-108.355047
-69.925282	-108.651981
-70.9187	-108.727985
-71.868079	-108.441492
-72.599538	-107.770873
-73.067461	-106.890575
-73.34802	-105.931876
-73.507143	-104.945279
-73.584086	-103.948645
-73.602064	-102.949065
-73.575623	-101.949693
-73.514419	-100.951854
-73.425165	-99.956072
-73.312729	-98.962611
-73.180763	-97.971579
-73.032083	-96.982984
-72.868868	-95.996555
-72.692921	-95.012384
-72.50568	-94.030302
-72.308337	-93.050171
-72.101913	-92.07196
-71.887238	-91.095473
-71.665053	-90.12067
-71.435992	-89.147488
-71.200607	-88.175858
-70.959357	-87.205623
-70.99648	-86.830276
-71.59792	-87.628908
-72.205078	-88.423278
-72.818321	-89.212981
-73.437993	-89.997475
-74.064705	-90.776426
-74.699039	-91.549298
-75.341502	-92.315284
-75.992919	-93.073733
-76.65411	-93.82371
-77.326006	-94.564073
-78.009719	-95.293465
-78.706617	-96.010272
-79.418326	-96.712464
-80.146664	-97.397312
-80.893951	-98.061389
-81.663074	-98.700161
-82.457342	-99.307196
-83.28103	-99.873611
-84.13913	-100.386281
-85.036995	-100.825232
-85.978588	-101.159304
-86.960285	-101.340444
-87.956819	-101.30421
-88.905033	-100.998689
-89.729623	-100.43855
-90.399638	-99.698924
-90.930857	-98.852992
-91.352197	-97.946825
-91.688957	-97.005692
-91.959973	-96.04349
-92.178861	-95.068081
-92.355529	-94.084113
-92.497316	-93.094466
-92.609778	-92.101023
-92.697209	-91.105052
-92.762998	-90.107448
-92.809867	-89.108793
-92.840033	-88.109437
-92.855323	-87.109808
-92.857268	-86.110051
-92.847158	-85.110288
-92.826097	-84.110731
-92.79503	-83.111393
-92.92599	-82.304582
-93.913899	-82.458195
-94.903138	-82.603349
-95.893591	-82.739285
-96.88545	-82.865178
-97.878555	-82.980027
-98.87313	-83.082711
-99.868847	-83.171851
-100.865896	-83.245866
-101.864053	-83.302817
-102.863109	-83.340347
-103.862796	-83.355546
-104.862511	-83.344749
-105.861393	-83.30326
-106.858045	-83.224937
-107.85009	-83.101548
-108.833405	-82.9218
-109.800598	-82.669846
-110.737783	-82.323255
-111.618	-81.851395
-112.3901	-81.219565
-112.974035	-80.412272
-113.298556	-79.470401
-113.363949	-78.475035
-113.22801	-77.485734
-112.951231	-76.525638
-112.576596	-75.599018
-112.131949	-74.703775
-111.635313	-73.836193
-111.098751	-72.992655
-110.530629	-72.170017
-109.936959	-71.365653
-109.322122	-70.577301
-108.689467	-69.803122
-108.041647	-69.041648
-107.380658	-68.291515
-106.708213	-67.551693
-106.025613	-66.821191
-105.333981	-66.099205
-105.221647	-65.646724
-106.220597	-65.687002
-107.219919	-65.718098
-108.219482	-65.739097
-109.21921	-65.748933
-110.219	-65.746343
-111.218625	-65.729816
-112.217904	-65.697519
-113.216407	-65.647202
-114.213593	-65.576051
-115.208807	-65.480469
-116.200754	-65.355785
-117.187585	-65.195742
-118.166212	-64.991717
-119.131333	-64.731399
-120.073055	-64.396624
-120.971624	-63.959961
-121.784982	-63.381499
-122.425538	-62.619013
-122.765935	-61.68528
-122.759451	-60.689732
-122.491409	-59.728502
-122.060575	-58.827192
-121.528439	-57.981224
-120.9295	-57.180941
-120.283784	-56.417786
-119.603634	-55.68508
-118.897114	-54.977734
-118.169751	-54.291834
-117.425471	-53.624313
-116.667193	-52.972763
-115.897087	-52.335204
-115.116867	-51.710047
-114.327894	-51.095976
-113.531237	-50.491867
-113.786212	-50.076026
-114.739811	-49.77571
-115.691296	-49.468719
-116.640394	-49.154489
-117.586891	-48.83233
-118.530339	-48.50151
-119.470403	-48.161103
-120.40652	-47.810067
-121.338088	-47.447121
-122.264314	-47.070727
-123.184186	-46.678989
-124.09629	-46.269573
-124.998801	-45.839467
-125.889148	-45.384751
-126.763576	-44.90017
-127.616314	-44.378473
-128.438016	-43.809221
-129.21207	-43.176983
-129.906146	-42.458589
-130.45107	-41.623285
-130.70553	-40.663288
-130.524911	-39.688652
-129.986726	-38.850887
-129.261435	-38.164717
-128.443742	-37.590351
-127.575493	-37.09517
-126.676517	-36.657964
-125.757282	-36.264934
-124.823896	-35.906767
-123.880152	-35.576893
-122.928472	-35.270486
-121.970639	-34.98395
-121.007856	-34.714481
-120.041034	-34.459866
-119.070884	-34.218332
-118.097891	-33.988409
-117.122496	-33.768893
-116.14504	-33.558768
-115.165794	-33.35717
-114.184959	-33.163354
-113.202756	-32.976686
-112.21931	-32.796601
-111.234804	-32.622617
-110.249268	-32.454289
-109.262884	-32.291245
-108.275649	-32.133128
-107.287735	-31.979646
-106.299122	-31.830508
-105.309899	-31.685467
-104.320142	-31.544301
-103.329857	-31.406794
-102.339066	-31.272756
-101.347878	-31.142021
-100.355775	-31.03303
-99.358324	-31.101246
-98.360223	-31.159706
-97.361645	-31.208224
-96.362565	-31.246627
-95.363193	-31.274727
-94.363543	-31.292345
-93.363778	-31.299296
-92.364036	-31.295396
-91.364356	-31.280461
-90.364919	-31.254308
-89.365809	-31.216751
-88.367245	-31.167612
-87.369319	-31.106707
-86.372182	-31.033858
-85.376007	-30.94889
-84.380989	-30.851631
-83.387244	-30.741906
-82.394979	-30.619553
-81.40436	-30.484407
-80.415607	-30.336316
-79.428903	-30.175128
-78.444455	-30.000699
-77.462466	-29.812891
-76.483164	-29.611576
-75.506745	-29.39663
-74.533462	-29.167946
-73.563563	-28.925427
-72.597219	-28.668963
-71.634735	-28.398493
-70.67629	-28.113928
-69.722168	-27.815222
-68.772611	-27.502329
-67.827867	-27.175215
-66.888169	-26.833858
-65.953767	-26.478252
-65.024897	-26.108399
-64.101834	-25.724334
-63.184806	-25.326089
-62.274024	-24.913699
-61.36976	-24.487246
-60.472233	-24.046803
-59.58164	-23.59245
-58.69826	-23.124323
-57.822222	-22.642498
-56.95378	-22.147133
-56.093148	-21.638386
-55.240454	-21.116377
-54.395898	-20.581289
-53.559669	-20.033312
-52.731898	-19.472621
-51.912755	-18.899427
-51.102351	-18.31392
-50.300832	-17.716331
-49.508292	-17.106866
-48.724842	-16.485759
-47.95058	-15.853248
-47.185569	-15.209559
-46.429905	-14.554955
-45.683607	-13.889647
-44.946761	-13.213916
-44.21939	-12.528
-43.501505	-11.832133
-42.793149	-11.126589
-42.094312	-10.411604
-41.405006	-9.687438
-40.725215	-8.954335
-40.054904	-8.212524
-39.394086	-7.462291
-38.742696	-6.703842
-38.100682	-5.937403
-37.46804	-5.163258
-36.844669	-4.381582
-36.230543	-3.592643
-35.625591	-2.796654
-35.029746	-1.993837
-34.442919	-1.184386
-33.865043	-0.368522
-33.296041	0.45354
-32.735806	1.281638
-32.184279	2.115533
-31.641355	2.955058
-31.106945	3.800025
-30.580946	4.650267
-30.06327	5.505595
-30.422193	5.290148
-31.169195	4.625653
-31.931105	3.978344
-32.708074	3.349166
-33.500158	2.739138
-34.307376	2.149293
-35.129698	1.580677
-35.966996	1.034373
-36.819088	0.511454
-37.685706	0.012992
-38.566509	-0.459964
-39.461075	-0.906401
-40.36881	-1.325308
-41.289154	-1.715799
-42.22138	-2.07702
-43.164659	-2.408208
-44.118176	-2.708732
-45.080955	-2.978048
-46.052036	-3.215757
-47.030372	-3.42158
-48.014893	-3.595378
-49.004544	-3.737154
-49.998239	-3.84704
-50.994916	-3.925301
-51.993558	-3.972326
-52.993183	-3.988612
-53.992833	-3.974756
-54.991662	-3.931443
-55.988819	-3.85943
-56.983557	-3.759537
-57.97523	-3.632622
-58.963212	-3.479583
-59.946966	-3.301337
-60.926005	-3.098815
-61.89993	-2.872945
-62.868377	-2.624658
-63.831057	-2.354864
-64.787714	-2.064461
-65.738168	-1.754318
-66.682249	-1.425283
-67.619842	-1.078176
-68.550839	-0.713794
-69.475221	-0.33288
-70.392926	0.063828
-71.237704	0.585214
-71.956922	1.277985
-72.485144	2.12114
-72.561575	3.102164
-72.080364	3.967347
-71.326916	4.62101
-70.469916	5.134609
-69.565356	5.559843
-69.50045	5.896411
-70.468394	6.14673
-71.437429	6.392794
-72.405866	6.64119
-73.373194	6.893902
-74.339087	7.152023
-75.303265	7.416384
-76.265519	7.687785
-77.225522	7.96703
-78.182932	8.255031
-79.137316	8.55284
-80.088181	8.861727
-81.034874	9.183247
-81.976454	9.519316
-82.911793	9.872449
-83.83918	10.245926
-84.756156	10.644251
-85.658877	11.073844
-86.540897	11.544355
-87.390227	12.071325
-88.180969	12.681944
-88.84392	13.426606
-89.161059	14.360327
-88.837762	15.288059
-88.122784	15.981401
-87.27404	16.508072
-86.370515	16.9354
-85.43893	17.297977
-84.490723	17.614774
-83.531708	17.897221
-82.586162	18.155736
-83.488989	18.584914
-84.397723	19.00177
-85.305792	19.42009
-86.212355	19.841682
-87.117033	20.267306
-88.019565	20.697443
-88.919721	21.13249
-89.817313	21.572849
-90.712085	22.018914
-91.603761	22.471119
-92.492038	22.929963
-93.376541	23.396
-94.256891	23.869913
-95.13252	24.35244
-96.002826	24.844504
-96.867031	25.347197
-97.724161	25.861855
-98.572985	26.390143
-99.411809	26.934113
-100.238423	27.496464
-101.049676	28.080729
-101.840971	28.691752
-102.605091	29.336327
-103.330034	30.024553
-103.993456	30.771893
-104.548073	31.602183
-104.879348	32.540389
-104.760284	33.519457
-104.150481	34.300674
-103.309955	34.837705
-102.385839	35.217376
-101.426612	35.498283
-100.450162	35.712369
-99.46428	35.878131
-98.472883	36.007119
-97.478139	36.107032
-96.481261	36.183276
-95.907338	36.387618
-96.663717	37.041447
-97.421111	37.694077
-98.176937	38.348531
-98.930279	39.005841
-99.68062	39.666568
-100.42758	40.331126
-101.170802	40.999854
-101.909937	41.673091
-102.644623	42.351195
-103.374428	43.034528
-104.098898	43.723524
-104.817485	44.41865
-105.529551	45.120454
-106.234336	45.829565
-106.930933	46.546736
-107.618201	47.27283
-108.29476	48.008932
-108.958806	48.756309
-109.608053	49.516602
-110.239379	50.291801
-110.848531	51.084535
-111.429364	51.898238
-111.972532	52.73747
-112.462939	53.608478
-112.873865	54.519363
-113.152936	55.478009
-113.189937	56.472668
-112.81406	57.387128
-112.043899	58.012119
-111.105988	58.351177
-110.11993	58.511374
-109.121707	58.561114
-108.122346	58.537219
-107.125574	58.460729
-106.132604	58.344637
-105.143729	58.197508
-104.158895	58.025297
-103.177924	57.832321
-102.200556	57.621808
-101.226551	57.396252
-100.561167	57.370258
-101.136348	58.188009
-101.720262	58.999559
-102.307718	59.808558
-102.896231	60.616779
-103.484341	61.425316
-104.071004	62.234883
-104.655428	63.046069
-105.236924	63.859361
-105.814845	64.675203
-106.388541	65.494012
-106.957338	66.316227
-107.520494	67.142307
-108.077186	67.972771
-108.626431	68.808174
-109.167076	69.649182
-109.697681	70.496533
-110.216478	71.35118
-110.721147	72.214226
-111.20862	73.087097
-111.674642	73.9716
-112.113039	74.870104
-112.514287	75.785738
-112.862514	76.722713
-113.128088	77.686074
-113.246534	78.677088
-113.057725	79.650224
-112.353282	80.329798
-111.379902	80.527828
-110.384047	80.456237
-109.406082	80.250434
-108.447649	79.966477
-107.505869	79.631138
-106.577903	79.259162
-105.661473	78.859549
-104.754809	78.438221
-103.856543	77.999304
-102.96554	77.54577
-102.080941	77.079874
-101.202032	76.603357
-100.507093	76.31046
-100.929572	77.216608
-101.350528	78.123447
-101.769035	79.031431
-102.184593	79.940764
-102.596874	80.85159
-103.005614	81.764027
-103.410553	82.678132
-103.811463	83.594028
-104.208083	84.511779
-104.600146	85.431478
-104.987363	86.353233
-105.369411	87.277146
-105.745924	88.203326
-106.116502	89.131907
-106.480677	90.063015
-106.837916	90.996786
-107.187629	91.933434
-107.529093	92.873103
-107.861482	93.816004
-108.183825	94.762397
-108.494947	95.712538
-108.793431	96.666732
-109.077526	97.625302
-109.34505	98.588626
-109.593213	99.557107
-109.818375	100.531181
-110.015644	101.511274
-110.178212	102.497679
-110.296215	103.490391
-110.354563	104.488268
-110.328736	105.487304
-110.17616	106.474314
-109.821886	107.405952
-109.171049	108.154547
-108.256688	108.538104
-107.260743	108.569189
-106.27983	108.381862
-105.331628	108.066288
-104.414162	107.669528
-103.522668	107.217211
-102.652805	106.724474
-101.801095	106.200931
-100.964821	105.653071
-100.141806	105.085445
-99.33035	104.501414
-98.529054	103.903499
-97.736798	103.293676
-96.952624	102.673486
-96.175732	102.044177
-95.405478	101.406797
-94.641249	100.762167
-93.882571	100.111026
-93.129009	99.453978
-92.674503	98.771044
-92.676733	99.770657
-92.699038	100.770202
-92.7235	101.769686
-92.747518	102.769198
-92.770067	103.76873
-92.790592	104.768315
-92.808726	105.767932
-92.824188	106.767598
-92.836736	107.767308
-92.846145	108.767068
-92.852193	109.766836
-92.854652	110.766614
-92.853282	111.766411
-92.847824	112.766187
-92.837995	113.76592
-92.823481	114.765613
-92.803933	115.765208
-92.778955	116.764685
-92.748099	117.763996
-92.710851	118.763081
-92.666614	119.761893
-92.614692	120.760337
-92.554265	121.758295
-92.484351	122.755633
-92.403762	123.752158
-92.311039	124.747631
-92.204352	125.741701
-92.081365	126.733893
-91.939015	127.723474
-91.773152	128.709387
-91.577947	129.689891
-91.344781	130.662019
-91.060053	131.620236
-90.700408	132.552663
-90.221188	133.428653
-89.533349	134.145862
-88.585085	134.39301
-87.641728	134.083382
-86.81683	133.521026
-86.076638	132.849582
-85.39305	132.120235
-84.749378	131.355309
-84.135311	130.566382
-83.544037	129.760207
-82.9708	128.941083
-82.412131	128.111964
-81.865359	127.274939
-81.328381	126.431596
-80.799471	125.583173
-80.277157	124.730672
-79.760145	123.874938
-79.247258	123.01673
-78.737365	122.156733
-78.229408	121.295598
-77.722976	120.433564
-77.218074	119.570628
-76.714721	118.706799
-76.212917	117.842054
-75.712673	116.976401
-75.214005	116.109857
-74.716905	115.242408
-74.22137	114.374056
-73.727399	113.504811
-73.234986	112.634691
-72.744113	111.763703
-72.254761	110.891862
-71.766897	110.019179
-71.280493	109.145686
-70.795501	108.271399
-70.311874	107.396362
-69.82955	106.52061
-69.348453	105.644185
-68.868495	104.767133
-68.389576	103.889511
-67.911575	103.011381
-67.434376	102.132841
-66.957806	101.253938
-66.4817	100.374776
-66.005875	99.495473
-65.530116	98.616145
-65.054175	97.736897
-64.5778	96.857886
-64.100715	95.979283
-63.622595	95.101221
-63.14312	94.223906
-62.661932	93.347525
-62.178659	92.472281
-61.692924	91.598423
-61.204313	90.726157
-60.712425	89.855743
-60.216838	88.987415
